,NCT Number,Title,Interventions,Phases,Official Title
1452,NCT01719250,buparlisib in treat patient with relaps or refractori nonhodgkin lymphoma,['buparlisib'],['1'],a pilot studi of the pi3k inhibitor bkm120 in patient with relaps lymphoma
1454,NCT00551239,fludarabin and rituximab with or without pixantron in treat patient with relaps or refractori indol nonhodgkin lymphoma,"['fludarabine phosphate', 'pixantrone dimaleate']",['3'],a random phase iii trial compar the combin of fludarabine bbr 2778 pixantrone and rituximab fpr with the combin of fludarabin and rituximab fr in the treatment of patient with relaps or refractori indol nonhodgkin lymphoma
1455,NCT00238433,busulfan melphalan and thiotepa in treat patient who are undergo an autolog stem cell transplant for hodgkin or nonhodgkin lymphoma,"['busulfan', 'melphalan', 'thiotepa']",['2'],a phase ii studi to evalu the safeti and efficaci of iv busulfan melphalan and thiotepa bumeltt follow by autolog pbsc infus for patient with hodgkin diseas and nonhodgkin lymphoma
1457,NCT00436618,everolimus in treat patient with lymphoma that has relaps or not respond to previous treatment,['everolimus'],['2'],phase ii trial of everolimus rad001 in relapsedrefractori lymphoma
1459,NCT00278382,sorafenib in treat patient with recurr nonhodgkin lymphoma,['sorafenib tosylate'],['2'],a phase 2 studi of bay 439006 ind 69896 in chemosensit relaps aggress nonhodgkin lymphoma
1461,NCT00002779,fludarabin plus octreotid in treat patient with relaps lowgrad nonhodgkin lymphoma,"['fludarabine phosphate', 'octreotide acetate']",['2'],phase ii trial of fludarabin and sandostatin for relaps lowgrad nonhodgkin lymphoma
1462,NCT00003663,rituximab and dexamethason in treat patient with recurr or refractori indol nonhodgkin lymphoma,['dexamethasone'],['2'],rituximab anticd20 monoclon antibodi and dexamethason in the treatment of relaps indol lymphoma
1463,NCT00003605,rituximab plus cyclophosphamid in treat patient with indol stage iii or stage iv nonhodgkin lymphoma,['cyclophosphamide'],['2'],rituximab anticd20 monoclon antibodi plus oral cyclophosphamid as initi treatment of indol lymphoma
1464,NCT00002725,bryostatin1 in treat patient with recurr nonhodgkin lymphoma,"['bryostatin 1', 'chemotherapy']",['2'],phase ii evalu of bryostatin1 nsc 339555 in nonhodgkin lymphoma
1465,NCT00183976,pegyl liposom doxorubicin doxil with rituximab in relaps aidsrel nonhodgkin lymphoma,['pegylated liposomal doxorubicin '],['2'],a pilot phase ii studi of pegyl liposom doxorubicin doxil with rituximab in relaps aidsrel nonhodgkin lymphoma
1467,NCT00005613,peripher stem cell transplant in treat patient with nonhodgkin lymphoma or hodgkin diseas,"['cyclophosphamide', 'etoposide', 'bcnu']",['2'],a prospective compar trial of allogen versus autolog stem cell transplant for high risk lymphoma
1468,NCT00003639,combin chemotherapi with or without interferon alfa in treat patient with lowgrad nonhodgkin lymphoma,"['chlorambucil', 'dexamethasone', 'idarubicin']",['3'],randomis control trial of cid chlorambucil idarubicin dexamethasone versus cd chlorambucil dexamethasone for induct of remiss in low grade nonhodgkin lymphoma kiel classification follow by randomis control assess of standard dose interferon versus low dose interferon versus no further therapi as mainten treatment after remiss induct
1469,NCT00003143,combin chemotherapi with or without amifostin in treat patient with recurr or refractori nonhodgkin lymphoma or hodgkin diseas undergo stem cell transplant,"['amifostine', 'dhap']",['2'],a random studi of ethyol amifostine with platinum base salvag chemotherapi in patient with lymphoma undergo autolog stem cell transplant
1471,NCT00004112,combin chemotherapi with or without rituximab in treat patient with newli diagnos nonhodgkin lymphoma,"['chop regimen', 'cyclophosphamide', 'doxorubicin hydrochloride', 'prednisone', 'vincristine sulfate']",['3'],a phase iii random trial of chop chemotherapi plus rituxan idecc2b8 versus chop chemotherapi alon for newli diagnosed previous untreated aggress nonhodgkin lymphoma
1472,NCT00002481,combin chemotherapi and radiat therapi plus bone marrow transplant in treat patient with relaps or refractori nonhodgkin lymphoma,"['cisplatin', 'cyclophosphamide', 'cytarabine', 'dexamethasone', 'etoposide']",['2'],phase ii studi of highdos cytarabine cisplatin and dexamethason follow by cyclophosphamide etoposide total bodi irradiation and autolog bone marrow rescu in patient with relaps or refractori nonhodgkin lymphoma
1474,NCT00021372,paclitaxel and estramustin in treat patient with relaps or refractori nonhodgkin lymphoma,"['estramustine phosphate sodium', 'paclitaxel']",['2'],phase ii studi of paclitaxel and estramustin phosphat in patient with relaps nonhodgkin lymphoma
1477,NCT00007852,rituximab and combin chemotherapi follow by bone marrow or peripher stem cell transplant in treat patient with relaps or refractori nonhodgkin lymphoma,"['carmustine', 'cytarabine', 'etoposide', 'melphalan']",['2'],a phase ii trial of rituxan and beam highdos chemotherapi and autolog peripher blood progenitor transplant for lymphoma
1480,NCT00109824,decitabin with or without valproic acid in treat patient with relaps or refractori nonhodgkin lymphoma,"['decitabine', 'valproic acid']",['1'],a phase i studi of decitabin in combin with valproic acid in patient with relapsedrefractori nonhodgkin lymphoma
1482,NCT00003245,irinotecan in treat patient with recurr or refractori nonhodgkin lymphoma,['irinotecan hydrochloride'],['2'],phase ii studi of irinotecan for the treatment of relaps or refractori nonhodgkin lymphoma
1483,NCT00004908,radiat therapi and cyclophosphamid plus peripher stem cell transplant in treat patient with recurr or refractori hodgkin diseas or nonhodgkin lymphoma,['cyclophosphamide'],['2'],autolog blood stem cell transplant in patient with hodgkin diseas and nonhodgkin lymphoma with highdos cyclophosphamide total bodi irradi and involvedfield radiat therapi
1485,NCT00390117,at7519m in treat patient with advanc or metastat solid tumor or refractori nonhodgkin lymphoma,['cdki at7519'],['1'],a phase i studi of at7519m given twice week in patient with advanc incur malign
1486,NCT00443976,aurora kinas inhibitor at9283 in treat patient with advanc or metastat solid tumor or nonhodgkin lymphoma,['aurora kinase inhibitor at9283'],['1'],a phase i studi of at9283 given as a 24 hour infus on day 1 and 8 everi three week in patient with advanc incur malign
1487,NCT00008021,monoclon antibodi therapy chemotherapy and peripher stem cell transplant in treat patient with refractori nonhodgkin lymphoma,"['cyclosporine', 'paclitaxel']",['1'],a phase i studi of 90ydotapeptidelym1 with peripher blood stem cell support paclitaxel and cyclosporin a in patient with nonhodgkin lymphoma
1488,NCT00005998,peripher stem cell transplant with special treat stem cell in treat patient with nonhodgkin lymphoma or hodgkin diseas,"['carmustine', 'cyclophosphamide', 'cytarabine', 'dexamethasone', 'etoposide', 'filgrastim', 'mitoxantrone hydrochloride', 'retrovirus vector ln']",['2'],autolog transplant for nonhodgkin lymphoma and hodgkin diseas use retrovir mark peripher blood progenitor cell obtain after in vivo mobil use hematopoiet cytokin plus chemotherapi
1489,NCT00352443,s0528 lapatinib and everolimus in treat patient with advanc solid tumor or nonhodgkin lymphoma,"['everolimus', 'lapatinib ditosylate']",['1'],phase i studi evalu the combin of lapatinib gw572016 nsc727989 and everolimus rad001 in patient with advanc solid tumor
1491,NCT00009776,monoclon antibodi therapy paclitaxel and cyclosporin in treat patient with recurr or refractori nonhodgkin lymphoma,"['cyclosporine', 'paclitaxel']",['1'],combin modal radioimmunotherapi for nonhodgkin lymphoma with three cycl of 90ydotapeptidelym1 paclitaxel and cyclosporin a
1492,NCT00002697,combin chemotherapi plus radiat therapi follow by peripher stem cell transplant in treat patient with nonhodgkin lymphoma,"['carboplatin', 'etoposide', 'ifosfamide']",['2'],high dose chemoradiotherapi with peripher blood progenitor cell transplant for patient with primari refractory relaps and poor prognosi nonhodgkin lymphoma
1493,NCT00052936,combin chemotherapi with or without rituximab in treat older patient with nonhodgkin lymphoma,"['chop regimen', 'cyclophosphamide', 'doxorubicin hydrochloride', 'prednisone', 'vincristine sulfate']",['3'],randomis studi compar 6 and 8 cycl of chemotherapi with chop  cyclophosphamide doxorubicin vincristin and prednisone at 14day interv chop14 both with or without the monoclon anticd20 antibodi rituximab in patient age 61 to 80 year with aggress nonhodgkin lymphoma
1494,NCT00004192,colonystimul factor to reliev neutropenia in patient with recurr nonhodgkin lymphoma,"['cisplatin', 'cytarabine', 'etoposide', 'methylprednisolone']",['2'],a randomized multicenter openlabel studi of singl dose filgrastimsd01 versus daili filgrastim follow eshap chemotherapi for nonhodgkin lymphoma
1495,NCT00005993,biolog therapi follow peripher stem cell transplant in treat patient with nonhodgkin lymphoma hodgkin disease or advanc breast cancer,"['aldesleukin', 'filgrastim', 'recombinant human stem cell factor']",['1'],immunotherapi with subcutan il2 and stem cell factor scf for patient with lymphoma or breast cancer after autolog transplant
1496,NCT00057954,reducedintens regimen befor allogen transplant for patient with relaps nonhodgkin or hodgkin lymphoma,"['pentostatin', 'cyclosporin ', 'mycophenolate mofetil ', 'methotrexate ']",['2'],a phase ii studi of reduc intens allogen bone marrow transplant for the treatment of relaps nonhodgkin and hodgkin lymphoma
1500,NCT00006373,combin chemotherapi follow by bone marrow or peripher stem cell transplant in treat patient with nonhodgkin lymphoma or hodgkin lymphoma,"['etoposide', 'ifosfamide', 'topotecan hydrochloride', 'mesna']",['2'],a phase ii studi of intensivedos topotecan ifosfamidemesna and etoposid vepesidtime follow by autolog stem cell rescu in high risk lymphoma
1501,NCT00003414,graftversushost diseas in treat patient with recurr or refractori lymphoma or hodgkin diseas,"['busulfan', 'cyclophosphamide', 'cyclosporine']",['3'],random trial of autolog gvhd for refractori lymphoma
1504,NCT00045500,ucn01 and prednison in treat patient with solid tumor or lymphoma,"['7-hydroxystaurosporine', 'prednisone']",['1'],a phase i trial of ucn01 and prednison in patient with refractori solid tumor and lymphoma
1506,NCT00088868,17dimethylaminoethylamino17demethoxygeldanamycin 17dmag in treat patient with an advanc solid tumor or lymphoma,['alvespimycin hydrochloride'],['1'],a phase i studi of 17dimethylaminoethylamino17demethoxygeldanamycin 17dmag with evalu of hsp90 client protein in subject with solid tumor and lymphoma
1508,NCT00791011,phase 1b lymphoma studi of amg 655 in combin with bortezomib or vorinostat,['amg 655'],['1'],a phase 1b studi to evalu the safeti and toler of amg 655 in combin with bortezomib or vorinostat in subject with relaps or refractori lymphoma
1509,NCT00002552,chemotherapi plus bone marrow transplant in treat patient with refractori nonhodgkin lymphoma hodgkin disease or multipl myeloma,"['carmustine', 'cyclophosphamide', 'cytarabine', 'etoposide', 'leucovorin calcium', 'methotrexate', 'perfosfamide', 'therapeutic hydrocortisone']",['2'],autologous allogeneic or syngen bone marrow transplant in hodgkin disease nonhodgkin lymphoma and multipl myeloma
1510,NCT00002946,penclomedin in treat patient with solid tumor or lymphoma,['penclomedine'],['1'],a phase i trial of oral penclomedin
1511,NCT00004057,paclitaxel plus l778123 in treat patient with recurr or refractori solid tumor or lymphoma,"['l-778,123', 'paclitaxel']",['1'],a phase i and pharmacokinet studi evalu the safety tolerability and maxim toler dose of combin therapi with paclitaxel and l778123 in patient with recurr or refractori solid malign
1512,NCT00002909,phenylbutyr in treat patient with refractori solid tumor or lymphoma,"['chemotherapy', 'oral sodium phenylbutyrate']",['1'],a phase i clinic and pharmacolog evalu of phenylbutyr in patient with refractori solid tumors studi of continu exposur oral phenylbutyr on a three time daili schedul
1513,NCT00018954,chemotherapi in treat patient with acut lymphoblast leukemia and diffus nonhodgkin lymphoma,"['asparaginase', 'cyclophosphamide', 'cytarabine', 'daunorubicin hydrochloride', 'doxorubicin hydrochloride', 'etoposide', 'ifosfamide', 'mercaptopurine', 'methotrexate', 'prednisone', 'vincristine sulfate']",['2'],pilot multin protocol in acut lymphoblast leukemia and diffus nonhodgkin lymphoma
1514,NCT00023816,carbendazim in treat patient with advanc solid tumor or lymphoma,['carbendazim'],['1'],third phase i and pharmacokinet studi of fb642 administ oral to patient with advanc solid tumor
1515,NCT00007865,combin chemotherapi plus rituximab in treat patient with recurr or refractori nonhodgkin lymphoma,"['carboplatin', 'etoposide', 'ifosfamide']",['2'],a phase ii trial of ifosfamide carboplatin and etoposid ice chemotherapi in combin with rituximab as salvag therapi
1516,NCT00004907,chemotherapi and radiat therapi plus bone marrow or peripher stem cell transplant in treat patient with relaps or refractori tcell lymphoma hodgkin lymphoma or nonhodgkin lymphoma,"['busulfan', 'cyclophosphamide', 'etoposide']","['1', '2']",highdos chemoradiotherapi with stem cell allogen cellular rescu in patient with relaps or refractori hematolog malign  a phase iii studi
1517,NCT00027937,combin chemotherapy peripher stem cell transplantation and biolog therapi in treat patient with solid tumor or lymphoma,"['busulfan', 'cyclophosphamide', 'melphalan', 'paclitaxel', 'thiotepa']",['2'],a phase ii studi of mobil chemotherapi with gmcsf and gcsf follow by high dose therapi combin with il2 activ autolog peripher blood stem cell follow by sequenti il2 therapi as treatment for solid tumor and lymphoma
1518,NCT02129062,ibrutinib in treat patient with relaps or refractori bcell acut lymphoblast leukemia,['ibrutinib'],['2'],a phase 2 studi to determin the efficaci of the btk inhibitor ibrutinib pci32765 in patient with relaps or refractori precursorb lymphoblast leukemia ball
1519,NCT02101853,blinatumomab in treat younger patient with relaps bcell acut lymphoblast leukemia,"['asparaginase', 'cyclophosphamide', 'cytarabine', 'dexamethasone', 'etoposide', 'leucovorin calcium', 'mercaptopurine', 'methotrexate', 'mitoxantrone hydrochloride', 'pegaspargase', 'therapeutic hydrocortisone', 'thioguanine', 'vincristine sulfate']",['3'],riskstratifi random phase iii test of blinatumomab nsc765986 in first relaps of childhood blymphoblast leukemia ball
1522,NCT00004075,17nallylamino17demethoxygeldanamycin in treat patient with solid tumor that cannot be remov by surgeri,['tanespimycin'],['1'],a phase i trial of 17allylaminogeldanamycin 17aag in solid tumor and lymphoma patient
1523,NCT00324597,amg 706 and gemcitabin in treat patient with advanc solid tumor or lymphoma,"['gemcitabine hydrochloride', 'motesanib diphosphate']",['1'],a phase ib openlabel sequential dosefinding studi of amg 706 in combin with gemcitabin to treat subject with solid tumor
1526,NCT00049400,s0355 ixabepilon in treat patient with advanc solid tumor or lymphoma and liver dysfunct,['bms-247550'],['1'],a phase i pharmacokinet studi of epothilon b analogu bms247550 nsc 710428d in patient with advanc malign and vari level of liver dysfunct
1527,NCT00004002,ps341 in treat patient with advanc solid tumor or lymphoma,['bortezomib'],['1'],phase i trial of ps341 in advanc cancer
1529,NCT00019838,ucn01 and fludarabin in treat patient with recurr or refractori lymphoma or leukemia,"['7-hydroxystaurosporine', 'fludarabine phosphate']",['1'],phase i and pharmacokinet studi of ucn01 and fludarabin in relaps or refractori lowgrad lymphoid malign
1530,NCT00047021,combin chemotherapi in treat patient with recurr or refractori leukemia or lymphoma,"['cytarabine', 'mitoxantrone hydrochloride']",['2'],a pilot studi of cytarabin and highdos mitoxantron for relaps or refractori hematolog malign
1531,NCT00005021,combin chemotherapi with or without biolog therapi in treat patient with refractori solid tumor or lymphoma,"['carboplatin', 'paclitaxel', 'topotecan hydrochloride']",['1'],phase i evalu of topotecan in combin with paclitaxel and carboplatin
1532,NCT00016172,zd0473 and doxorubicin in treat patient with advanc solid tumor or lymphoma,"['pegylated liposomal doxorubicin hydrochloride', 'picoplatin']",['1'],a phase i studi of zd0473 and doxil in patient with advanc refractori cancer
1533,NCT00003368,irinotecan in treat patient with solid tumor or lymphoma who have abnorm liver or kidney function or who have receiv radiat therapi to the pelvi,['irinotecan hydrochloride'],['1'],phase i studi of irinotecan for patient with abnorm liver or renal function or with prior pelvic radiat therapi
1534,NCT01490723,zevalincontain nonmyeloabl condit for stem cell transplant sct,"['rituximab', '111in ibritumomab', '90y ibritumomabtiuxetan', 'fludarabine', 'bendamustine', 'thymoglobulin', 'tacrolimus', 'methotrexate', 'mycophenolate', 'g-csf']",['2'],doseintens yttrium90 ibritumomab tiuxetan zevalincontain nonmyeloabl condit for allogen stem cell transplant in bcell malign
1535,NCT00659568,metformin and temsirolimus in treat patient with metastat or unresect solid tumor or lymphoma,"['metformin hydrochloride', 'temsirolimus']",['1'],a phase i studi of temsirolimus in combin with metformin in advanc solid tumour
1536,NCT00002625,topotecan and radiat therapi in treat patient with solid tumor or lymphoma,['topotecan hydrochloride'],['1'],phase i studi of topotecan and thorac radiat
1537,NCT00003056,prevent of graftversushost diseas in patient with advanc leukemia or lymphoma who are elig for peripher stem cell transplant,"['cyclosporine', 'cyclosporine', 'methotrexate']",['3'],peripher blood stem cell transplant in patient with advanc malign elig for allogen transplant from match relat donors a random studi of cyclosporinemethotrex or cyclosporinetcel deplet cd34 cell selection for gvhd prophylaxi
1538,NCT00020579,ms275 in treat patient with advanc solid tumor or lymphoma,['entinostat'],['1'],a phase i studi of an oral histon deacetylas inhibitor ms275 in refractori solid tumor and lymphoma
1541,NCT00003956,combin chemotherapi in treat patient with advanc cancer,"['fluorouracil', 'leucovorin calcium', 'lonafarnib']",['1'],a phase i studi of continu oral administr of sch 66336 and 5fluorouracilleucovorin 5fulv in patient with advanc cancer
1542,NCT00025129,vnp40101m in treat patient with advanc solid tumor or lymphoma,['laromustine'],['1'],a phase i trial of vnp4010m a novel alkyl agent for patient with advanc or metastat cancer
1543,NCT00003993,bryostatin 1 and interleukin2 in treat patient with refractori solid tumor or lymphoma,['bryostatin 1'],['1'],a phase lb trial of the combin of bryostatin1 and low dose interleukin2 evalu of the function and molecular status of human monocyt as antigen present cell
1545,NCT00002862,perillyl alcohol in treat patient with refractori cancer,['perillyl alcohol'],['1'],a phase i studi of perillyl alcohol in patient with refractori malign nsc 641066
1547,NCT00005626,phase ii trial with correl laboratori studi of singl agent irinotecan camptosar cpt11,['irinotecan'],['2'],phase ii trial with correl laboratori studi of singl agent irinotecan camptosar cpt11 in newli diagnos and relaps indol lymphoprolif malign
1549,NCT00002553,chemotherapi plus radiat therapi and biolog therapi in treat patient with hematolog cancer,['cyclophosphamide'],['2'],treatment of patient with hematolog malign use marrow transplant from unrel donor match for hla or incompat for one hla locus antigen
1550,NCT01408160,immunotoxin therapi and cytarabin in treat patient with relaps or refractori bcell acut lymphoblast leukemia,['cytarabine'],['1'],a phase 1 studi of the deglycosyl ricin a chaincontain combin anticd19 and anticd22 immunotoxin combotox in combin with highdos cytarabin in adult relaps or refractori blineag acut lymphoblast leukemia
1551,NCT00019019,carboxyamidotriazol and paclitaxel in treat patient with advanc solid tumor or refractori lymphoma,"['carboxyamidotriazole', 'paclitaxel']",['1'],a phase i studi of the combin of cai and paclitaxel in adult patient with refractori cancer or lymphoma
1552,NCT00003567,gene therapi and chemotherapi in treat patient with advanc solid tumor or nonhodgkin lymphoma,"['o6-benzylguanine', 'carmustine', 'temozolomide']",['1'],mutant mgmt gene transfer into human hematopoiet progenitor to protect hematopoiesi dure o6benzylguanin bg nsc 637037 and carmustin follow by temozolomid therapi of advanc solid tumor
1553,NCT00005590,levofloxacin to prevent infect follow chemotherapi in treat patient with solid tumor or lymphoma,['levofloxacin'],['3'],a randomized prospect doubleblind placebocontrol trial of prophylact oral levofloxacin follow chemotherapi for lymphoma and solid tumor
1554,NCT00052572,ixabepilon in treat patient with relaps or refractori lymphoprolif disord,['ixabepilone'],['2'],a multicent phase ii studi of bms 247550 epothilon b analogue in indol lymphoprolif disord
1557,NCT00002759,irinotecan plus cyclosporin and phenobarbit in treat patient with solid tumor or lymphoma,"['cyclosporine', 'irinotecan hydrochloride', 'phenobarbital']",['1'],a phase i studi of irinotecan cpt11 with pharmacokinet modul by cyclosporin a and phenobarbit
1558,NCT00003885,arsenic trioxid in treat patient with recurr or refractori acut leukemia chronic myeloid leukemia myelodysplasia lymphoma or myeloma,['arsenic trioxide'],['2'],phase ii studi of arsenic trioxid in relapsedrefractori acut leukemia and blast crisi of chronic myeloid leukemia
1559,NCT00002657,swog9239 reduct of immunosuppress plus interferon alfa and combin chemotherapi in treat patient with malign tumor that develop after organ transplant,"['cyclophosphamide', 'cytarabine', 'doxorubicin hydrochloride', 'etoposide', 'methotrexate', 'prednisone', 'vincristine sulfate']",['2'],phase ii trial of sequenti modif of immunosuppression interferon alpha and promacecytabom for treatment of postcardiac transplant lymphoproliferation
1561,NCT00003294,chemotherapi given with amifostin and filgrastim in treat patient with recurr or metastat cancer,"['amifostine trihydrate', 'carboplatin', 'paclitaxel']",['1'],initi clinic evalu of the combin of paclitaxel and carboplatin with modul of toxic with gcsf and amifostin
1562,NCT00513474,rasburicas in prevent graftversushost diseas in patient with hematolog cancer or other diseas undergo donor stem cell transplant,"['busulfan', 'cyclophosphamide', 'cyclosporin-a', 'etoposide', 'methotrexate', 'rasburicase', 'sirolimus', 'tacrolimus', 'fludarabine', 'allopurinol']",['1'],rasburicas to prevent graft versushost diseas
1563,NCT00004061,biolog therapi in treat patient undergo radiat therapy chemotherapy and peripher stem cell transplant for hematolog cancer,"['cyclophosphamide', 'etoposide', 'ifosfamide']",['2'],a random doubleblind placebocontrol trial of recombin human keratinocyt growth factor rhukgf in patient with hematolog malign undergo total bodi irradi tbi and highdos chemotherapi with autolog peripher blood
1564,NCT00003289,ucn01 in treat patient with advanc cancer,['7-hydroxystaurosporine'],['1'],a phase i and pharmacolog studi of ucn01 nsc638850
1565,NCT00317785,totalbodi irradi and cyclophosphamid in treat patient who are undergo donor stem cell transplant for hematolog cancer and other diseas,"['cyclophosphamide', 'cyclosporine', 'methotrexate', 'mycophenolate mofetil', 'sirolimus', 'tacrolimus']",['2'],a phase ii trial of total bodi irradi plus metabolismbas cyclophosphamid dose as prepar therapi for allogen hematopoiet cell transplant for patient with hematolog malign
1566,NCT02378038,pnt2258 for treatment of patient with richter transform brighton,['pnt2258'],['2'],a phase ii studi of pnt2258 in patient with richter transform rt
1567,NCT00816413,donor stem cell transplant pentostatin and totalbodi irradi in treat patient with hematolog cancer,"['cyclosporine', 'mycophenolate mofetil', 'pentostatin']","['1', '2']",t cellreduc unrel donor allogen peripher blood stem cell transplant with pentostatin and lowdos total bodi irradi
1569,NCT00787761,earli administr of atg follow by cyclophosphamide busulfan and fludarabin befor a donor stem cell transplant in patient with hematolog cancer,"['busulfan', 'cyclophosphamide', 'fludarabine phosphate', 'methotrexate', 'tacrolimus']",['2'],preadministr of rabbit antithymocyt globulin to optim donor tcell engraft follow reduc intens allogen peripher blood progenitor cell transplant from matchedrel donor
1570,NCT00740467,stem cell transplant in treat patient with hematolog cancer or other disord,"['busulfan', 'cyclophosphamide', 'cyclosporine', 'fludarabine phosphate', 'mycophenolate mofetil']",['2'],allograft of hematopoiet stem cell with reducedintens condit from a hlahaploident famili donor phase ii studi of combin immunosuppress befor and after transplant
1573,NCT00445497,earli hospit discharg or standard inpati care in cancer patient receiv antibiot for febril neutropenia,"['amoxicillin-clavulanate potassium', 'ciprofloxacin']",['3'],a prospect randomis phase iii trial of earli hospit discharg versus standard inpati manag of cancer patient with lowrisk febril neutropenia receiv oral antibiotics oral antibiot for neutropen sepsi give earli hospit discharg orange
1576,NCT00006221,bms247550 in treat patient with advanc cancer,['ixabepilone'],['1'],a phase i studi of bms247550 nsc 710428 given week x 3 everi 4 week in patient with advanc malign
1577,NCT00005639,azacitidin plus phenylbutyr in treat patient with advanc or metastat solid tumor that have not respond to previous treatment,"['azacitidine', 'sodium phenylbutyrate']",['1'],a phase i dose escal to maxim toler dose trial of 5azacytidin 5 ac nsc 102816 in combin with sodium phenylbutyr pb nsc 657802 in patient with refractori solid tumor
1578,NCT00031941,cc5013 in treat patient with cancer that has not respond to previous therapi,['lenalidomide'],['1'],a multidos phase i studi of oral cc5013 a thalidomid derivative in patient with refractori metastat cancer
1579,NCT00004189,rebeccamycin analog and cisplatin with or without filgrastim in treat patient with advanc cancer,"['becatecarin', 'cisplatin']",['1'],a phase i and pharmacokinet studi of sequenc of nsc 655649 rebeccamycin analogue and cisplatin without and with granulocyt colonystimul factor support everi 21 day
1580,NCT00004105,combin chemotherapi in treat patient with advanc cancer,"['estramustine phosphate sodium', 'paclitaxel', 'vinorelbine ditartrate']","['1', '2']",a phase iii studi of paclitaxel estramustin phosphate and vinorelbin paclevin
1583,NCT00806767,fludarabine busulfan and antilymphocyt globulin follow by donor stem cell transplant in treat older patient with hematolog cancer,"['busulfan', 'fludarabine phosphate']",['2'],phase ii studi of allogen transplant of hematopoiet stem cell from a compat famili donor in the treatment of patient over 55 year with hematolog malign
1584,NCT00006019,phenylbutyr plus azacitidin in treat patient with acut myeloid leukemia myelodysplasia nonhodgkin lymphoma multipl myeloma nonsmal cell lung cancer or prostat cancer,"['azacitidine', 'sodium phenylbutyrate']",['2'],pilot studi of sodium phenylbutyr plus azacytidin
1588,NCT00691015,sirolimus tacrolimus and antithymocyt globulin in prevent graftversushost diseas in patient with hematolog cancer who are undergo donor stem cell transplant,"['busulfan', 'carmustine', 'cyclophosphamide', 'cytarabine', 'etoposide', 'fludarabine phosphate', 'melphalan', 'anti-thymocyte globulin iv']",['2'],a phase ii studi of sirolimus tacrolimus and thymoglobulin® as graftversushost diseas prophylaxi in patient undergo unrel donor hematopoiet cell transplant
1590,NCT00755040,cyclosporin eye drop in prevent graftversushost diseas of the eye in patient who have undergon donor stem cell transplant for hematolog cancer or bone marrow failur disord,['cyclosporine ophthalmic emulsion'],['3'],random placebo control doubl blind studi of restasi versus placebo in primari prevent of ocular gvhd after allogen stem cell transplant
1591,NCT01775475,intraven chemotherapi or oral chemotherapi in treat patient with previous untreat stage iiiiv hivassoci nonhodgkin lymphoma,"['cyclophosphamide', 'doxorubicin hydrochloride', 'vincristine sulfate', 'prednisone', 'lomustine', 'etoposide', 'procarbazine hydrochloride']",['2'],randomized phase ii trial of chop vs oral chemotherapi with concomit antiretrovir therapi in patient with hivassoci lymphoma in subsaharan africa
1592,NCT00049699,vnp40101m in treat patient with advanc or metastat cancer,['laromustine'],['1'],a phase i trial of vnp40101m a novel alkyl agent administ week for patient with advanc or metastat cancer
1593,NCT00003395,arsenic trioxid in treat patient with advanc hematolog cancer,['arsenic trioxide'],['1'],doserang studi of arsenic trioxid in advanc hematolog cancer
1595,NCT00301951,lowdos fludarabine busulfan and antithymocyt globulin follow by donor umbil cord blood transplant in treat patient with advanc hematolog cancer,"['busulfan', 'fludarabine phosphate', 'mycophenolate mofetil', 'tacrolimus']",['1'],pilot studi of reducedintens umbil cord blood transplant in adult patient with advanc hematopoiet malign
1596,NCT00019344,flavopiridol in treat patient with refractori cancer,['alvocidib'],['1'],a phase i trial of daili bolus flavopiridol for five consecut day in patient with refractori neoplasm
1597,NCT00004114,chemotherapi plus peripher stem cell transplant in treat patient with advanc hematolog cancer,"['cyclophosphamide', 'cytarabine', 'fludarabine phosphate']",['1'],nonmyeloabl chemotherapi follow by unrel allogen stem cell transplant in patient with advanc hematolog malignancies a pilot studi
1598,NCT00019513,combin chemotherapi in treat patient with recurrent refractory or metastat solid tumor or lymphoma,"['fluorouracil', 'gemcitabine hydrochloride', 'leucovorin calcium']",['1'],a phase i studi of week gemcitabin in combin with infusion 5fluorouracil and oral calcium leucovorin in adult cancer patient
1600,NCT00448201,reducedintens busulfan and fludarabin with or without antithymocyt globulin follow by donor stem cell transplant in treat patient with hematolog cancer or other diseas,"['busulfan', 'fludarabine phosphate', 'methotrexate', 'tacrolimus']",['2'],allogen hematopoiet cell transplant for patient with hematolog disord who are inelig or inappropri for treatment with a more intens therapeut regimen
1601,NCT00448357,allogen hematopoiet cell transplant for patient with busulfexbas regimen,"['busulfan', 'fludarabine phosphate', 'tacrolimus', 'methotrexate']","['1', '2']",allogen hematopoiet cell transplant for patient with hematolog disord who are undergo doseadjust treatment with a maxim intens busulfexbas therapeut regimen
1602,NCT00661999,darbepoetin alfa with or without iron in treat anemia caus by chemotherapi in patient with cancer,['sodium ferric gluconate complex in sucrose'],['3'],a phase iii random studi of the effect of parenter iron oral iron or no iron supplement on the erythropoiet respons to darbepoetin alfa for cancer patient with chemotherapyassoci anemia
1604,NCT00611351,busulfan cyclophosphamide and antithymocyt globulin follow by donor stem cell transplant in treat patient with hematolog cancer,"['busulfan', 'cyclophosphamide', 'mycophenolate mofetil', 'tacrolimus']",['2'],match unrel donor allogen hematopoiet stem cell transplant with a condit regimen of target busulfan cyclophosphamide and thymoglobulin
