"Rank","NCT Number","Title","Acronym","Status","Study Results","Interventions","Phases","Results First Posted","URL"
1657,"NCT00109993","Campath-1H + FK506 and Methylprednisolone for GVHD",,"Completed","No Results Available","Biological: alemtuzumab|Drug: methylprednisolone|Drug: tacrolimus","Phase 2","null","https://ClinicalTrials.gov/show/NCT00109993"
1658,"NCT00004239","506U78 in Treating Patients With Hematologic Cancer and Kidney or Liver Impairment",,"Terminated","No Results Available","Drug: Compound 506U78","Phase 1","null","https://ClinicalTrials.gov/show/NCT00004239"
1659,"NCT00020865","Levofloxacin Compared With Cefepime in Treating Cancer Patients With Fever and Neutropenia",,"Unknown status","No Results Available","Drug: cefepime hydrochloride|Drug: levofloxacin","Phase 3","null","https://ClinicalTrials.gov/show/NCT00020865"
1660,"NCT00942409","Study of Repeat Intranodal Injections of Ad-ISF35",,"Terminated","Has Results","Biological: ISF35","Phase 2","November 20, 2015","https://ClinicalTrials.gov/show/NCT00942409"
1661,"NCT00004132","Growth Factor to Prevent Oral Mucositis in Patients With Hematologic Cancer",,"Completed","No Results Available","Biological: filgrastim|Biological: palifermin|Drug: cyclophosphamide|Drug: etoposide|Drug: ifosfamide|Procedure: quality-of-life assessment|Radiation: radiation therapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT00004132"
1662,"NCT00569283","Donor Natural Killer Cell Infusion in Preventing Relapse or Graft Failure in Patients Who Have Undergone Donor Bone Marrow Transplant",,"Completed","No Results Available","Biological: therapeutic allogeneic lymphocytes","Phase 1","null","https://ClinicalTrials.gov/show/NCT00569283"
1663,"NCT00005852","Bone Marrow Transplantation in Treating Patients With Severe Aplastic Anemia or Rejection of Previous Bone Marrow Transplant",,"Terminated","No Results Available","Biological: anti-thymocyte globulin|Biological: filgrastim|Biological: muromonab-CD3|Drug: cyclophosphamide|Drug: cyclosporine|Drug: methylprednisolone|Procedure: allogeneic bone marrow transplantation","Phase 2","null","https://ClinicalTrials.gov/show/NCT00005852"
1664,"NCT00096096","Tacrolimus and Mycophenolate Mofetil in Preventing Acute Graft-Versus-Host Disease in Patients With Advanced Hematologic Cancer Who Are Undergoing Donor Stem Cell Transplantation",,"Completed","No Results Available","Drug: mycophenolate mofetil|Drug: tacrolimus","Phase 2","null","https://ClinicalTrials.gov/show/NCT00096096"
1665,"NCT03690895","Long-term Outcome of AIDS-related Primary Central Nervous System Lymphoma Treated With High Dose Methotrexate and Combined Antiretroviral Therapy","LCPVIH","Completed","No Results Available","Other: Retrospective survival analysis","","null","https://ClinicalTrials.gov/show/NCT03690895"
1666,"NCT00538850","Fentanyl Sublingual Spray in Treating Patients With Breakthrough Cancer Pain",,"Completed","Has Results","Drug: Fentanyl sublingual spray|Drug: Placebo","Phase 3","March 5, 2014","https://ClinicalTrials.gov/show/NCT00538850"
1667,"NCT00003425","Phase I/II Study of Escalating-Dose Melphalan w/Autologous SCS & Amifostine Cytoprotect",,"Completed","No Results Available","Biological: filgrastim|Drug: amifostine trihydrate|Drug: cyclophosphamide|Drug: melphalan|Procedure: peripheral blood stem cell transplantation","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00003425"
1668,"NCT00003451","Interleukin-12 Followed by Interferon Alfa in Treating Patients With Advanced Cancer",,"Completed","No Results Available","Biological: recombinant interferon alfa|Biological: recombinant interleukin-12","Phase 1","null","https://ClinicalTrials.gov/show/NCT00003451"
1669,"NCT00003331","Combination Chemotherapy in Treating Patients With Advanced Cancer",,"Completed","No Results Available","Drug: fluorouracil|Drug: leucovorin calcium|Drug: topotecan hydrochloride","Phase 1","null","https://ClinicalTrials.gov/show/NCT00003331"
1670,"NCT00003398","Bone Marrow Transplantation in Treating Patients With Hematologic Cancer",,"Completed","No Results Available","Biological: anti-thymocyte globulin|Biological: filgrastim|Drug: cyclophosphamide|Drug: thiotepa|Procedure: allogeneic bone marrow transplantation|Procedure: bone marrow ablation with stem cell support|Radiation: radiation therapy","Phase 4","null","https://ClinicalTrials.gov/show/NCT00003398"
1671,"NCT00004036","Combination Chemotherapy Plus Amifostine in Treating Patients With Advanced Cancer",,"Unknown status","No Results Available","Biological: sargramostim|Drug: amifostine trihydrate|Drug: carboplatin|Drug: cyclophosphamide","Phase 1","null","https://ClinicalTrials.gov/show/NCT00004036"
1672,"NCT00002980","Decitabine in Treating Patients With Melanoma or Other Advanced Cancer",,"Completed","No Results Available","Drug: decitabine","Phase 1","null","https://ClinicalTrials.gov/show/NCT00002980"
1673,"NCT00068523","Ultraviolet-B Light Therapy and Allogeneic Stem Cell Transplantation in Treating Patients With Hematologic Malignancies",,"Completed","No Results Available","Biological: anti-thymocyte globulin|Drug: cyclophosphamide|Drug: cyclosporine|Drug: fludarabine phosphate|Drug: methylprednisolone|Procedure: UV light therapy|Procedure: allogeneic bone marrow transplantation|Procedure: peripheral blood stem cell transplantation","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00068523"
1674,"NCT00003406","Combination Chemotherapy Followed by Peripheral Stem Cell Transplantation in Treating Patients With Refractory Cancer",,"Completed","No Results Available","Drug: carboplatin|Drug: docetaxel|Drug: ifosfamide|Procedure: autologous bone marrow transplantation|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00003406"
1675,"NCT00080925","T-Cell-Depleted Allogeneic Stem Cell Transplantation After Immunoablative Induction Chemotherapy and Reduced-Intensity Transplantation Conditioning in Treating Patients With Hematologic Malignancies",,"Completed","No Results Available","Biological: filgrastim|Biological: graft-versus-tumor induction therapy|Biological: rituximab|Biological: therapeutic allogeneic lymphocytes|Drug: cyclophosphamide|Drug: cyclosporine|Drug: cytarabine|Drug: doxorubicin hydrochloride|Drug: etoposide|Drug: fludarabine phosphate|Drug: prednisone|Drug: vincristine sulfate|Procedure: peripheral blood stem cell transplantation","Phase 1","null","https://ClinicalTrials.gov/show/NCT00080925"
1676,"NCT00509691","Vaccine Therapy in Treating Patients Who Have Undergone a Donor Stem Cell Transplant and Have Cytomegalovirus Infection That Has Not Responded to Therapy",,"Completed","No Results Available","Biological: cytomegalovirus pp65-specific cytotoxic T lymphocytes|Genetic: polymerase chain reaction|Other: diagnostic laboratory biomarker analysis|Other: flow cytometry|Other: immunologic technique","Phase 1","null","https://ClinicalTrials.gov/show/NCT00509691"
1677,"NCT00004258","EMD 121974 in Treating Patients With Locally Advanced or Metastatic Cancer",,"Completed","No Results Available","Drug: cilengitide","Phase 1","null","https://ClinicalTrials.gov/show/NCT00004258"
1678,"NCT00002504","Interleukin-2 Plus Interferon Alfa in Treating Adults With Metastatic Cancer",,"Completed","No Results Available","Biological: aldesleukin|Biological: recombinant interferon alfa","Phase 2","null","https://ClinicalTrials.gov/show/NCT00002504"
1679,"NCT00089037","Sirolimus, Tacrolimus, and Methotrexate in Preventing Acute Graft-Versus-Host Disease in Patients With Hematologic Cancer Who Are Undergoing Donor Stem Cell Transplantation",,"Completed","No Results Available","Drug: methotrexate|Drug: sirolimus|Drug: tacrolimus","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00089037"
1680,"NCT00005805","St. John's Wort in Relieving Fatigue in Patients Undergoing Chemotherapy or Hormone Therapy for Cancer",,"Completed","No Results Available","Dietary Supplement: St. John's wort","Phase 3","null","https://ClinicalTrials.gov/show/NCT00005805"
1681,"NCT00003082","Monoclonal Antibody Therapy in Treating Patients With Advanced Cancer",,"Completed","No Results Available","Biological: monoclonal antibody A27.15|Biological: monoclonal antibody E2.3","Phase 1","null","https://ClinicalTrials.gov/show/NCT00003082"
1682,"NCT00003805","Prevention of Infection in Patients With Hematologic Cancer and Persistent Fever Caused by a Low White Blood Cell Count",,"Completed","No Results Available","Drug: piperacillin sodium|Drug: piperacillin-tazobactam|Drug: tazobactam sodium|Drug: vancomycin","Phase 3","null","https://ClinicalTrials.gov/show/NCT00003805"
1683,"NCT00006225","Peripheral Stem Cell Transplantation in Treating Patients With Breast Cancer or Hematologic Cancer",,"Completed","No Results Available","Biological: filgrastim|Biological: recombinant flt3 ligand|Biological: recombinant human thrombopoietin|Biological: recombinant interleukin-3|Procedure: in vitro-treated peripheral blood stem cell transplantation","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00006225"
1684,"NCT00006083","Dalteparin to Prevent Complications in Cancer Patients Receiving Chemotherapy Through a Catheter",,"Completed","No Results Available","Drug: Fragmin|Other: placebo","Phase 3","null","https://ClinicalTrials.gov/show/NCT00006083"
1685,"NCT00005634","Suberoylanilide Hydroxamic Acid in Treating Patients With Advanced Solid Tumors That Have Not Responded to Previous Therapy",,"Completed","No Results Available","Drug: vorinostat","Phase 1","null","https://ClinicalTrials.gov/show/NCT00005634"
1686,"NCT00082654","Study of the Emotional Needs of Caregivers of Stem Cell Transplantation Patients",,"Completed","No Results Available","Procedure: psychosocial assessment and care","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00082654"
1687,"NCT00006042","Cyclophosphamide Plus Bone Marrow Transplantation in Treating Patients With Hematologic Cancer",,"Completed","No Results Available","Biological: filgrastim|Drug: cyclophosphamide|Drug: fludarabine phosphate|Drug: mycophenolate mofetil|Drug: tacrolimus|Procedure: allogeneic bone marrow transplantation|Radiation: radiation therapy","Phase 1","null","https://ClinicalTrials.gov/show/NCT00006042"
1688,"NCT00003887","Lymphocyte Infusion in Treating Patients With Relapsed Cancer After Bone Marrow or Peripheral Stem Cell Transplantation",,"Completed","No Results Available","Biological: peripheral blood lymphocyte therapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT00003887"
1689,"NCT00003116","High-Dose Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Hematologic Cancer",,"Completed","No Results Available","Biological: filgrastim|Drug: busulfan|Drug: cyclophosphamide|Drug: cyclosporine|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation","Phase 2","null","https://ClinicalTrials.gov/show/NCT00003116"
1690,"NCT00027560","Melphalan, Fludarabine, and Alemtuzumab Followed by Peripheral Stem Cell Transplant in Treating Patients With Hematologic Cancer",,"Completed","Has Results","Biological: alemtuzumab|Drug: cyclosporine|Drug: fludarabine phosphate|Drug: melphalan|Procedure: allogeneic bone marrow transplantation|Procedure: peripheral blood stem cell transplantation","Phase 2","January 7, 2013","https://ClinicalTrials.gov/show/NCT00027560"
1691,"NCT00006348","Ondansetron in Treating Patients With Advanced Cancer and Chronic Nausea and Vomiting Not Caused by Cancer Treatment",,"Completed","No Results Available","Drug: ondansetron|Other: placebo","Phase 3","null","https://ClinicalTrials.gov/show/NCT00006348"
1692,"NCT00010283","Beclomethasone in Treating Patients With Graft-Versus-Host Disease of the Esophagus, Stomach, Small Intestine, or Colon",,"Completed","No Results Available","Drug: beclomethasone dipropionate","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00010283"
1693,"NCT00019656","Perifosine in Treating Patients With Refractory Solid Tumors or Hematologic Cancer",,"Completed","No Results Available","Drug: perifosine","Phase 1","null","https://ClinicalTrials.gov/show/NCT00019656"
1694,"NCT00005967","Tipifarnib in Treating Patients With Advanced Hematologic Cancer",,"Completed","No Results Available","Drug: tipifarnib","Phase 1","null","https://ClinicalTrials.gov/show/NCT00005967"
1695,"NCT00003335","Umbilical Cord Blood Transplantation in Treating Patients With High-Risk Hematologic Cancer",,"Completed","No Results Available","Biological: anti-thymocyte globulin|Drug: busulfan|Drug: cyclosporine|Drug: melphalan|Drug: methylprednisolone|Procedure: umbilical cord blood transplantation|Radiation: radiation therapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT00003335"
1696,"NCT00006368","Yttrium Y 90 SMT 487 in Treating Patients With Refractory or Recurrent Cancer",,"Completed","No Results Available","Radiation: yttrium Y 90-edotreotide","Phase 1","null","https://ClinicalTrials.gov/show/NCT00006368"
1697,"NCT00003107","Interleukin-12 in Treating Patients With Hematologic Cancers or Solid Tumors",,"Completed","No Results Available","Biological: recombinant interleukin-12","Phase 1","null","https://ClinicalTrials.gov/show/NCT00003107"
1698,"NCT00445731","A Structured Walking Program or Standard Therapy in Cancer Patients Undergoing a Donor Bone Marrow Transplant",,"Completed","No Results Available","Behavioral: exercise intervention|Procedure: management of therapy complications|Procedure: observation","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00445731"
1699,"NCT00445952","Natural History Study of Fungal Infections of the Blood in Patients With Cancer or in Patients Who Have Undergone a Stem Cell Transplant",,"Completed","No Results Available","Other: clinical observation|Procedure: management of therapy complications","","null","https://ClinicalTrials.gov/show/NCT00445952"
1700,"NCT00004904","Stem Cell Transplantation in Treating Patients With Hematologic Cancer",,"Completed","No Results Available","Biological: anti-thymocyte globulin|Biological: filgrastim|Drug: cladribine|Drug: cyclophosphamide|Drug: etoposide|Drug: methylprednisolone|Drug: tacrolimus|Procedure: allogeneic bone marrow transplantation|Procedure: in vitro-treated peripheral blood stem cell transplantation","Phase 1","null","https://ClinicalTrials.gov/show/NCT00004904"
1701,"NCT00378781","Heparin or M-EDTA in Preventing Catheter-Related Infections and Blockages in Patients at High Risk for a Catheter-Related Infection",,"Withdrawn","No Results Available","Drug: Heparin|Drug: Minocycline-EDTA","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00378781"
1702,"NCT00005804","Bone Marrow Transplantation in Treating Patients With Hematologic Cancer",,"Completed","No Results Available","Drug: cyclophosphamide|Procedure: allogeneic bone marrow transplantation|Radiation: radiation therapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT00005804"
1703,"NCT00002520","Physician-Initiated Stop-Smoking Program for Patients Receiving Treatment for Early-Stage Cancer",,"Completed","No Results Available","Drug: nicotine|Behavioral: Usual Care","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00002520"
1704,"NCT00361049","Donor Mesenchymal Stem Cell Infusion in Treating Patients With Acute or Chronic Graft-Versus-Host Disease After Undergoing a Donor Stem Cell Transplant",,"Completed","No Results Available","Biological: graft versus host disease prophylaxis/therapy|Genetic: fluorescence in situ hybridization|Other: immunoenzyme technique|Other: immunohistochemistry staining method|Other: laboratory biomarker analysis|Procedure: in vitro-treated bone marrow transplantation|Procedure: management of therapy complications","Phase 1","null","https://ClinicalTrials.gov/show/NCT00361049"
1705,"NCT00357084","Methotrexate and Glucocorticoids in Treating Patients With Newly Diagnosed Acute Graft-Versus-Host Disease After Donor Stem Cell Transplant",,"Completed","No Results Available","Drug: methotrexate|Drug: methylprednisolone|Drug: prednisone","Phase 2","null","https://ClinicalTrials.gov/show/NCT00357084"
1706,"NCT00042900","Pyroxamide in Treating Patients With Advanced Cancer",,"Completed","No Results Available","Drug: pyroxamide","Phase 1","null","https://ClinicalTrials.gov/show/NCT00042900"
1707,"NCT00054236","Combination Chemotherapy Followed By Umbilical Cord Blood Transplantation in Treating Patients With Hematologic Cancer or Severe Aplastic Anemia",,"Completed","No Results Available","Biological: anti-thymocyte globulin|Biological: filgrastim|Drug: cyclophosphamide|Drug: fludarabine phosphate|Procedure: umbilical cord blood transplantation|Drug: methylprednisolone","Phase 1","null","https://ClinicalTrials.gov/show/NCT00054236"
1708,"NCT00053196","Donor Stem Cell Transplant in Treating Patients With Relapsed Hematologic Cancer",,"Completed","No Results Available","Biological: anti-thymocyte globulin|Biological: G-CSF|Drug: busulfan|Drug: fludarabine phosphate|Drug: methotrexate|Drug: mycophenolate mofetil|Drug: tacrolimus|Procedure: allogeneic cell transplantation|Drug: allopurinol","Phase 2","null","https://ClinicalTrials.gov/show/NCT00053196"
1709,"NCT00053989","Peripheral Stem Cell Transplant in Treating Patients With Hematologic Cancer or Aplastic Anemia",,"Completed","No Results Available","Biological: anti-thymocyte globulin|Biological: graft-versus-tumor induction therapy|Biological: sargramostim|Biological: therapeutic allogeneic lymphocytes|Drug: cyclophosphamide|Drug: fludarabine phosphate|Drug: methylprednisolone|Drug: mycophenolate mofetil|Drug: tacrolimus|Procedure: allogeneic bone marrow transplantation|Procedure: peripheral blood stem cell transplantation|Procedure: umbilical cord blood transplantation","Phase 2","null","https://ClinicalTrials.gov/show/NCT00053989"
1710,"NCT00064311","Ravuconazole in Preventing Fungal Infections in Patients Undergoing Allogeneic Stem Cell Transplantation",,"Completed","No Results Available","Drug: ravuconazole","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00064311"
1711,"NCT00008164","Umbilical Cord Blood and Placental Blood Transplantation in Treating Patients With Hematologic Cancer or Aplastic Anemia",,"Unknown status","No Results Available","Procedure: umbilical cord blood transplantation","Phase 2","null","https://ClinicalTrials.gov/show/NCT00008164"
1712,"NCT00053157","Sargramostim in Reducing Graft-Versus-Host Disease in Patients Who Are Undergoing Donor Stem Cell Transplantation for Hematologic Cancer or Aplastic Anemia",,"Completed","No Results Available","Biological: sargramostim","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00053157"
1713,"NCT00062231","Moxifloxacin Compared With Ciprofloxacin/Amoxicillin in Treating Fever and Neutropenia in Patients With Cancer",,"Terminated","No Results Available","Drug: amoxicillin-clavulanate potassium|Drug: ciprofloxacin|Drug: moxifloxacin hydrochloride|Procedure: management of therapy complications","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00062231"
1714,"NCT00004232","Bone Marrow and Peripheral Stem Cell Transplantation in Treating Patients With Hematologic Cancer",,"Completed","No Results Available","Biological: filgrastim|Drug: cyclosporine|Drug: methylprednisolone|Drug: prednisone|Procedure: allogeneic bone marrow transplantation|Procedure: peripheral blood stem cell transplantation","Phase 1","null","https://ClinicalTrials.gov/show/NCT00004232"
1715,"NCT00003408","Biological Therapy Following Chemotherapy and Peripheral Stem Cell Transplantation in Treating Patients With Cancer",,"Completed","No Results Available","Biological: aldesleukin|Biological: recombinant interferon alfa|Biological: sargramostim","Phase 2","null","https://ClinicalTrials.gov/show/NCT00003408"
1716,"NCT00060255","High-Dose Chemotherapy, Total-Body Irradiation, and Autologous Stem Cell Transplantation or Bone Marrow Transplantation in Treating Patients With Hematologic Cancer or Solid Tumors",,"Completed","No Results Available","Drug: busulfan|Drug: carboplatin|Drug: carmustine|Drug: cyclophosphamide|Drug: etoposide|Drug: melphalan|Drug: thiotepa|Procedure: autologous bone marrow transplantation|Procedure: bone marrow ablation with stem cell support|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT00060255"
1717,"NCT01943682","Safety Study of CPX-351 in Children With Relapsed Leukemia or Lymphoma",,"Active, not recruiting","No Results Available","Drug: CPX-351","Phase 1","null","https://ClinicalTrials.gov/show/NCT01943682"
1718,"NCT00305851","Music Therapy or Book Discussion in Improving Quality of Life in Young Patients Undergoing Stem Cell Transplant",,"Completed","No Results Available","Procedure: music therapy (books on tape)|Procedure: psychosocial assessment and care|Procedure: quality-of-life assessment|Behavioral: Music Video","Phase 3","null","https://ClinicalTrials.gov/show/NCT00305851"
1719,"NCT00003816","Combination Chemotherapy and Donor Stem Cell Transplant in Treating Patients With Aplastic Anemia or Hematologic Cancer",,"Active, not recruiting","No Results Available","Biological: anti-thymocyte globulin|Drug: busulfan|Drug: carboplatin|Drug: cyclophosphamide|Drug: etoposide|Drug: fludarabine phosphate|Drug: melphalan|Drug: thiotepa|Radiation: total-body irradiation","Phase 2|Phase 3","null","https://ClinicalTrials.gov/show/NCT00003816"
1720,"NCT00003687","Treatment for Chronic Pain in Patients With Advanced Cancer",,"Completed","No Results Available","Drug: dextromethorphan hydrobromide|Drug: morphine sulfate","Phase 3","null","https://ClinicalTrials.gov/show/NCT00003687"
1721,"NCT00006379","Non-Ablative Allo HSCT For Hematologic Malignancies or SAA",,"Completed","No Results Available","Biological: anti-thymocyte globulin|Biological: graft-versus-tumor induction therapy|Drug: cyclophosphamide|Drug: fludarabine phosphate|Procedure: peripheral blood stem cell transplantation","Phase 2","null","https://ClinicalTrials.gov/show/NCT00006379"
1722,"NCT00008216","Blood Stem Cell Transplant in Treating Patients With Hematologic Cancer",,"Terminated","No Results Available","Procedure: Peripheral Blood Stem Cell Transplantation","","null","https://ClinicalTrials.gov/show/NCT00008216"
1723,"NCT00014482","Music Therapy to Ease Pain and Emotional Distress in Patients With Hematologic Cancer Who Are Undergoing High-Dose Therapy and Stem Cell Transplantation",,"Completed","No Results Available","Procedure: pain therapy|Procedure: psychosocial assessment and care","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00014482"
1724,"NCT00036790","Motexafin Gadolinium and Doxorubicin in Treating Patients With Advanced Cancer",,"Completed","No Results Available","Drug: doxorubicin hydrochloride|Drug: motexafin gadolinium","Phase 1","null","https://ClinicalTrials.gov/show/NCT00036790"
1725,"NCT00248547","Aprepitant in Preventing Nausea and Vomiting in Patients Who Are Undergoing a Stem Cell Transplant",,"Completed","Has Results","Drug: aprepitant|Drug: dexamethasone|Drug: ondansetron|Drug: placebo","Not Applicable","December 21, 2011","https://ClinicalTrials.gov/show/NCT00248547"
1726,"NCT00110045","Caspofungin Acetate in Treating Aspergillosis in Patients With Hematologic Cancer or in Patients Who Have Undergone a Stem Cell Transplant",,"Completed","No Results Available","Drug: caspofungin acetate","Phase 2","null","https://ClinicalTrials.gov/show/NCT00110045"
1727,"NCT02823327","Clinical Factors and Gene Expression Analysis for Prognosis in Tissue Samples From Patients With AIDS-Related Primary Effusion Lymphoma",,"Recruiting","No Results Available","Genetic: Laboratory Biomarker Analysis|Other: Medical Chart Review","","null","https://ClinicalTrials.gov/show/NCT02823327"
1728,"NCT01961063","Gene Therapy After Frontline Chemotherapy in Treating Patients With AIDS-Related Non-Hodgkin Lymphoma",,"Active, not recruiting","No Results Available","Drug: busulfan|Biological: lentivirus vector rHIV7-shI-TAR-CCR5RZ-transduced hematopoietic progenitor cells|Other: pharmacological study|Other: laboratory biomarker analysis","Phase 1","null","https://ClinicalTrials.gov/show/NCT01961063"
1729,"NCT02585947","To Compare the Efficacy of a Prophylactic Use of Tenofovir by Duration for the Non-Hodgkin's Lymphoma",,"Recruiting","No Results Available","Drug: Tenofovir","Phase 4","null","https://ClinicalTrials.gov/show/NCT02585947"
1730,"NCT00131937","Sorafenib Tosylate in Treating Patients With Recurrent Aggressive Non-Hodgkin's Lymphoma",,"Completed","Has Results","Drug: sorafenib tosylate","Phase 2","September 3, 2015","https://ClinicalTrials.gov/show/NCT00131937"
1731,"NCT00089141","Mycophenolate Mofetil (MMF) for Treatment of Chronic Graft-versus-host Disease (GVHD)",,"Terminated","Has Results","Drug: mycophenolate mofetil|Drug: placebo","Phase 3","August 26, 2009","https://ClinicalTrials.gov/show/NCT00089141"
1732,"NCT00217412","Vorinostat With or Without Isotretinoin in Treating Young Patients With Recurrent or Refractory Solid Tumors, Lymphoma, or Leukemia",,"Completed","No Results Available","Drug: vorinostat|Drug: isotretinoin","Phase 1","null","https://ClinicalTrials.gov/show/NCT00217412"
1733,"NCT00002673","Immunotherapy in Treating Patients Who Are Undergoing Bone Marrow or Peripheral Stem Cell Transplantation",,"Completed","No Results Available","Procedure: infection prophylaxis and management","Phase 2","null","https://ClinicalTrials.gov/show/NCT00002673"
1734,"NCT00004230","Captopril in Treating Patients Undergoing Bone Marrow or Stem Cell Transplantation",,"Completed","No Results Available","Drug: captopril|Drug: cyclophosphamide|Procedure: autologous bone marrow transplantation|Procedure: peripheral blood stem cell transplantation|Radiation: radiation therapy","Phase 3","null","https://ClinicalTrials.gov/show/NCT00004230"
1735,"NCT00014391","Ribavirin With or Without Monoclonal Antibody Therapy in Treating Patients Who Develop RSV Pneumonia Following Peripheral Stem Cell Transplantation",,"Completed","No Results Available","Biological: palivizumab|Drug: ribavirin","Phase 3","null","https://ClinicalTrials.gov/show/NCT00014391"
1736,"NCT00003883","Itraconazole Compared With Fluconazole to Prevent Infections in Patients Undergoing Peripheral Stem Cell or Bone Marrow Transplantation",,"Completed","No Results Available","Drug: fluconazole|Drug: itraconazole","Phase 3","null","https://ClinicalTrials.gov/show/NCT00003883"
1737,"NCT00079222","Voriconazole Compared With Itraconazole in Preventing Fungal Infections in Patients Undergoing Allogeneic Hematopoietic Stem Cell Transplantation",,"Completed","No Results Available","Drug: itraconazole|Drug: voriconazole","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00079222"
1738,"NCT00101270","Oxaliplatin and Irinotecan in Treating Young Patients With Refractory Solid Tumors or Lymphomas",,"Completed","No Results Available","Drug: irinotecan hydrochloride|Drug: oxaliplatin","Phase 1","null","https://ClinicalTrials.gov/show/NCT00101270"
1739,"NCT00073944","BCX-1777 in Treating Patients With Refractory Cancer",,"Completed","No Results Available","Drug: forodesine hydrochloride","Phase 1","null","https://ClinicalTrials.gov/show/NCT00073944"
1740,"NCT00008359","Caspofungin Acetate Compared With Amphotericin B Liposomal in Treating Patients With Persistent Fever and Neutropenia Following Cancer Treatment",,"Completed","No Results Available","Drug: caspofungin acetate|Drug: liposomal amphotericin B","Phase 3","null","https://ClinicalTrials.gov/show/NCT00008359"
1741,"NCT00060021","Acupuncture in Treating Mucositis-Related Pain Caused by Chemotherapy in Patients Undergoing Stem Cell Transplantation",,"Completed","No Results Available","Procedure: acupuncture therapy|Procedure: management of therapy complications|Procedure: pain therapy","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00060021"
1742,"NCT00058019","Ixabepilone in Treating Patients With Relapsed or Refractory Aggressive Non-Hodgkin's Lymphoma",,"Completed","Has Results","Drug: ixabepilone","Phase 2","February 27, 2014","https://ClinicalTrials.gov/show/NCT00058019"
1743,"NCT00003938","Liposomal Amphotericin B in Treating Granulocytopenia and Persistent Unexplained Fever in Cancer Patients",,"Completed","No Results Available","Drug: liposomal amphotericin B","Phase 3","null","https://ClinicalTrials.gov/show/NCT00003938"
1744,"NCT00003538","Prevention of Graft-Versus-Host Disease in Patients Undergoing Bone Marrow Transplantation",,"Completed","No Results Available","Biological: graft versus host disease prophylaxis/therapy|Procedure: allogeneic bone marrow transplantation","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00003538"
1745,"NCT00049296","Thalidomide and Docetaxel in Treating Patients With Advanced Cancer",,"Completed","No Results Available","Drug: docetaxel|Drug: thalidomide","Phase 1","null","https://ClinicalTrials.gov/show/NCT00049296"
1746,"NCT00049465","Standard Follow-up Compared With Extended Follow-up in Treating Patients Who Have Undergone Stem Cell Transplantation for Cancer",,"Completed","No Results Available","Procedure: fatigue assessment and management|Procedure: management of therapy complications|Procedure: psychosocial assessment and care","Not Applicable","null","https://ClinicalTrials.gov/show/NCT00049465"
1747,"NCT00045292","Valacyclovir in Preventing Cytomegalovirus Infection in Patients Who Are Undergoing Donor Stem Cell Transplantation",,"Completed","No Results Available","Drug: acyclovir|Drug: acyclovir sodium|Drug: valacyclovir","Phase 3","null","https://ClinicalTrials.gov/show/NCT00045292"
1748,"NCT00086840","CCI-779 in Treating Patients With Relapsed or Refractory Chronic Lymphocytic Leukemia",,"Terminated","No Results Available","Drug: temsirolimus|Other: laboratory biomarker analysis","Phase 2","null","https://ClinicalTrials.gov/show/NCT00086840"
1749,"NCT03638206","Autologous CAR-T/TCR-T Cell Immunotherapy for Malignancies",,"Recruiting","No Results Available","Biological: CAR-T cell immunotherapy","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03638206"
1750,"NCT02228512","Study of Pomalidomide Combined With Modified DA-EPOCH and Rituximab in KSHV-Associated Lymphomas",,"Withdrawn","No Results Available","Drug: Pomalidomide|Drug: Rituximab|Drug: Prednisone|Drug: Etoposide|Drug: Doxorubicin|Drug: Vincristine|Drug: Cyclophosphamide","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02228512"
1751,"NCT02730312","PH 1 Study to Evaluate Safety and Tolerability of XmAb14045 in Patients With CD123-expressing Hematologic Malignancies",,"Recruiting","No Results Available","Biological: XmAb14045","Phase 1","null","https://ClinicalTrials.gov/show/NCT02730312"
